file_name,P_bins,P,cluster1,cluster2,is_R,is_EL,is_LHD,is_X,is_H1,is_H3,is_H5,is_NS,is_E,i_hm2/i_hm1,i_hm3/i_hm1,i_hm4/i_hm1,i_hm5/i_hm1,i_thd,P_F,Label,Is_test
1,1,23.89449275712,1,0,0,1,0,0,0,0,0,0,0,0.003163961953865291,0.7693020767246868,0.0035013502802092268,0.40172120947260825,0.9637806700262858,0.5671690224025366,Compact Fluorescent Lamp,0
2,1,24.236180819239998,1,0,0,1,0,0,0,0,0,0,0,0.0007322404792044633,0.7670670333650672,0.001920556240847177,0.3970681329827903,0.9590493216497836,0.5708524213633536,Compact Fluorescent Lamp,0
3,1,23.835492924800004,1,0,0,1,0,0,0,0,0,0,0,0.004505692216274898,0.7653049072694016,0.003105631410842973,0.3964768805289776,0.958759059062296,0.5647729570305178,Compact Fluorescent Lamp,0
4,1,24.160814932720005,1,0,0,1,0,0,0,0,0,0,0,0.0033713466512838176,0.7690028044282666,0.002145595427370052,0.4005410348844582,0.96428980457262,0.5684034871927403,Compact Fluorescent Lamp,0
5,1,24.17572419895,1,0,0,1,0,0,0,0,0,0,0,0.0007147971511401088,0.7672771241968664,0.002054409046658086,0.39974970826494893,0.9622260107962596,0.5696667289867509,Compact Fluorescent Lamp,0
6,2,115.07237546162202,0,2,1,0,0,0,0,1,0,0,0,0.02104747087308946,0.07549029060457049,0.007042409621152727,0.09977721665435764,0.14841300392796242,0.98847163364562,Fridge,0
7,3,187.90549323132,0,1,1,0,0,0,1,0,0,0,0,0.0015829471056862268,0.06625383976685811,0.0009911687910385397,0.035505642478905704,0.08379914535848378,0.9902965350286967,Hairdryer,0
8,3,188.29788639302,0,1,1,0,0,0,1,0,0,0,0,0.0018449055864237507,0.06547938479098411,0.0008524407141071548,0.03482882144241428,0.08156108440512383,0.990326873438522,Hairdryer,0
9,3,143.90395780607,0,1,1,0,0,0,1,0,0,0,0,0.001816953003383355,0.022675732747246092,0.0003496809788984453,0.008774138177056466,0.02520821362453761,0.9846751883125412,Air Conditioner,0
10,3,143.66127148655002,0,1,1,0,0,0,1,0,0,0,0,0.0008188899687552556,0.023479862837961992,0.0004753670931938126,0.009194322016819096,0.02594464063417781,0.9847571960514112,Air Conditioner,0
11,3,147.45744036262,0,1,1,0,0,0,1,0,0,0,0,0.0037270100444713274,0.0228301324255326,0.0004077094940189338,0.008987991271120956,0.025553135054564625,0.98398238679894,Air Conditioner,0
12,0,10.98844035082,1,0,0,1,0,0,0,0,0,0,0,0.007605369629468344,0.7463927911791769,0.004089950742594742,0.3653208453622435,0.9886106204256394,0.5415091068794041,Compact Fluorescent Lamp,0
13,0,10.81864689638,1,0,0,1,0,0,0,0,0,0,0,0.0021425914564076995,0.747684015379293,0.002588091975317814,0.3668044529217728,0.9916108096616858,0.5348994648098423,Compact Fluorescent Lamp,0
14,0,10.983306658839998,1,0,0,1,0,0,0,0,0,0,0,0.007541443738329861,0.7411666394090316,0.0035979103952420866,0.3549691546373877,0.981609590202862,0.5448012510365379,Compact Fluorescent Lamp,0
