file_name,P_bins,P,cluster1,cluster2,cluster3,cluster4,i_hm2/i_hm1,i_hm3/i_hm1,i_hm4/i_hm1,i_hm5/i_hm1,hf_2_1,hf_3_1,hf_4_1,hf_5_1,i_thd,P_F,Label,Is_test
1,1,23.89449275712,0,1,0,1,0.003163961953865291,0.7693020767246868,0.0035013502802092268,0.40172120947260825,-0.49385789009475334,0.9132627881923949,-0.8338415902350119,0.9532291059146024,0.9637806700262858,0.5671690224025366,Compact Fluorescent Lamp,0
2,1,24.236180819239998,0,1,0,1,0.0007322404792044633,0.7670670333650672,0.001920556240847177,0.3970681329827903,-0.6672469572339521,0.9742031928385734,-0.027900685090065807,-0.15318903072146212,0.9590493216497836,0.5708524213633536,Compact Fluorescent Lamp,0
3,1,23.835492924800004,0,1,0,1,0.004505692216274898,0.7653049072694016,0.003105631410842973,0.3964768805289776,-0.7198773225714891,0.9341690278989284,-0.6396535860818204,0.6647884904310573,0.958759059062296,0.5647729570305178,Compact Fluorescent Lamp,0
4,1,24.160814932720005,0,1,0,1,0.0033713466512838176,0.7690028044282666,0.002145595427370052,0.4005410348844582,0.02369830068096449,0.9957296445051446,0.5729176832646544,0.18683970960431784,0.96428980457262,0.5684034871927403,Compact Fluorescent Lamp,0
5,1,24.17572419895,0,1,0,1,0.0007147971511401088,0.7672771241968664,0.002054409046658086,0.39974970826494893,-0.8101285059595478,0.995472806658457,-0.9982590093052276,0.5494343058327855,0.9622260107962596,0.5696667289867509,Compact Fluorescent Lamp,0
6,2,115.07237546162202,0,0,0,0,0.02104747087308946,0.07549029060457049,0.007042409621152727,0.09977721665435764,-0.8888025956624719,0.9256215824989613,-0.18530138750597816,0.9707137077053508,0.14841300392796242,0.98847163364562,Fridge,0
7,3,187.90549323132,0,0,0,0,0.0015829471056862268,0.06625383976685811,0.0009911687910385397,0.035505642478905704,-0.5351611648982252,0.9999630399353654,-0.8334419473615339,-0.02508579405855204,0.08379914535848378,0.9902965350286967,Hairdryer,0
8,3,188.29788639302,0,0,0,0,0.0018449055864237507,0.06547938479098411,0.0008524407141071548,0.03482882144241428,-0.9995514736448318,0.9922116092239986,-0.5954211436090971,0.09999083241034658,0.08156108440512383,0.990326873438522,Hairdryer,0
9,3,143.90395780607,0,0,0,0,0.001816953003383355,0.022675732747246092,0.0003496809788984453,0.008774138177056466,0.5002185215572453,0.9608948417252906,-0.2932073163238631,0.12337022065553224,0.02520821362453761,0.9846751883125412,Air Conditioner,0
10,3,143.66127148655002,0,0,0,0,0.0008188899687552556,0.023479862837961992,0.0004753670931938126,0.009194322016819096,-0.7930259759529659,0.25106544566170125,-0.9997581737680035,-0.09085735470145535,0.02594464063417781,0.9847571960514112,Air Conditioner,0
11,3,147.45744036262,0,0,0,0,0.0037270100444713274,0.0228301324255326,0.0004077094940189338,0.008987991271120956,0.050403237797294595,0.8598718951931726,-0.5790333095303273,0.4305020003313264,0.025553135054564625,0.98398238679894,Air Conditioner,0
12,0,10.98844035082,0,1,0,1,0.007605369629468344,0.7463927911791769,0.004089950742594742,0.3653208453622435,0.6403252800681998,0.6674986910871104,0.3757152227325257,-0.8021226035817038,0.9886106204256394,0.5415091068794041,Compact Fluorescent Lamp,0
13,0,10.81864689638,0,1,0,1,0.0021425914564076995,0.747684015379293,0.002588091975317814,0.3668044529217728,-0.13656099881264339,0.6240017131415537,-0.8117843166424557,-0.44217051683280756,0.9916108096616858,0.5348994648098423,Compact Fluorescent Lamp,0
14,0,10.983306658839998,0,1,0,1,0.007541443738329861,0.7411666394090316,0.0035979103952420866,0.3549691546373877,0.8766699866239419,0.4097563217302792,0.1971337312122233,-0.15219513221703926,0.981609590202862,0.5448012510365379,Compact Fluorescent Lamp,0
15,0,10.512458222891999,0,1,0,1,0.0030040685962375844,0.7377763195964341,0.0011711733586619733,0.35388708235840405,0.7645695138633083,-0.6326589833341978,-0.9643453531086451,-0.6391809326069567,0.984240013620438,0.5302375284168998,Compact Fluorescent Lamp,0
16,0,11.096958549980002,0,1,0,1,0.005401638742627339,0.7360440532722058,0.002686685541495726,0.35228653991231124,0.9999455338492585,0.5803476049102759,0.7546292714100042,0.7033500263443488,0.9736035463304497,0.5465327422971825,Compact Fluorescent Lamp,0
17,2,92.03523733062,0,0,0,0,0.015729029563896067,0.11644462669412747,0.0074820919699253655,0.08837388548930666,0.9647441339347816,0.718922829128371,-0.6264643342213831,0.9077271012039139,0.1903043964691583,0.9783401642033019,Fridge,0
18,3,193.4150459021,0,0,0,0,0.0027632961137162683,0.042102652283984514,0.000988101638161796,0.032091841066808326,0.16665638359009932,-0.42386411262363083,0.9188618160475308,-0.09794350109257344,0.059570126126778186,0.9923689109728518,Hairdryer,0
19,3,194.51672316251998,0,0,0,0,0.0008552124299557164,0.041436752452899885,0.00031688627852353486,0.03196643576257268,-0.6260195144164178,-0.19265144408394602,0.3950634015169632,0.045801018870341124,0.05898206991843385,0.992492948941868,Hairdryer,0
20,3,201.96980044733996,0,0,0,0,0.0003080712448520284,0.041660868701036864,0.00036334759283095135,0.03175732635694574,-0.5690386354170542,-0.7295111389780471,-0.6595035812580644,0.7117367212323199,0.05904073647715687,0.9925179367229858,Hairdryer,0
21,3,208.861952634062,0,0,0,0,0.0019506137807301898,0.04161495583531173,0.0008162665441333915,0.03158802330278745,-0.05107863511133152,-0.3769460806145158,-0.8691877867393739,0.39651588218963374,0.058839651189066186,0.9927235075474892,Hairdryer,0
22,0,18.44440466434,0,0,0,1,0.051478286701448786,0.9449389638792244,0.04769186191138759,0.7558576990197439,0.7509518987196234,-0.4940751773474066,0.40034158595241326,0.9328113557918424,1.5182274108374054,0.4969270161780986,Laptop,0
23,1,20.5319933192,0,0,0,1,0.004383092751288552,0.9390068434019232,0.009384523357489093,0.7483869875957498,-0.49494495613227535,0.46140630855225295,-0.6697896766461077,-0.6309623306403213,1.4940327863524363,0.4996717731597552,Laptop,0
24,1,19.46630354546,1,0,0,1,0.0046897508054611825,0.9394556970252228,0.00973260538190844,0.7413359765353411,-0.9886774720921567,-0.9999916060569256,-0.33434788941803867,-0.05366679238764936,1.4542461656348655,0.4986668764086748,Laptop,0
25,1,19.367371310164,1,0,0,1,0.026028214096733008,0.9412563279574332,0.02117900987550797,0.7425449009772495,0.13124603467943102,-0.93558894677658,-0.7285826071784562,-0.7785168329654043,1.4671263040274098,0.4975558462513021,Laptop,0
26,1,19.637268436048,1,0,0,1,0.0393234459464122,0.9393814023504341,0.03431751489049094,0.7417294979430229,-0.8717271750318267,-0.8206280021331063,-0.13400811872131133,0.39261307257303113,1.445342854450623,0.4988437354362308,Laptop,0
27,3,258.75872709178,0,1,0,2,0.018043200436851124,0.5009692916565133,0.016577784145607618,0.2320930721072849,0.9073078543314251,0.6108898337504264,-0.5020430372558317,0.6659070484726581,0.5554513959033444,0.3217119770010092,Microwave,0
28,3,237.43052941144,0,1,0,2,0.01160182257613011,0.5261287783932115,0.014174815868934576,0.22627080025380314,0.7752549873278515,-0.9933412294935402,0.9203369765789515,-0.8842300223367545,0.5753900101759529,0.2979254864145677,Microwave,0
29,3,255.44682974607997,0,1,0,2,0.018047113256456884,0.5042640209929231,0.020954452978637243,0.23020026215468276,-0.6199193553906831,0.5303440202802417,0.7544290279336149,0.540225911002127,0.5578850881387242,0.32036700340713936,Microwave,0
30,3,281.41190715876,0,1,0,2,0.02503008274689806,0.4766893980910542,0.022206353461757082,0.2354726386835635,-0.9075663458699812,0.0798704251990343,0.7620619995685408,-0.8316829579694133,0.5360952575325368,0.34913985485323035,Microwave,0
31,3,233.56714276948003,0,1,0,2,0.006005685992128832,0.5313813853870121,0.013115999635770929,0.2266067220811446,0.3923916924226399,-0.8249912238277299,-0.9558615829860795,-0.32060459398807,0.5800858472739293,0.2933009339035409,Microwave,0
32,2,117.80895454799999,0,0,0,0,0.0005579178699297954,0.018388908621809932,2.6429861067679754e-05,0.004362595793966107,-0.9644073942027753,-0.7371240489544592,-0.9796290991873404,-0.010922588292066793,0.01988655944741957,0.982926600900104,Air Conditioner,0
33,2,119.41172620610399,0,0,0,0,0.0006102146810677639,0.018732447537249373,0.0008011261111014067,0.0051481495637623895,0.8816499911938044,-0.9533230254044027,-0.8909097248306435,0.9102138974862432,0.020422388015477497,0.984104922341582,Air Conditioner,0
34,0,8.371265413596001,0,1,0,1,0.0017806421346613114,0.8784802896353875,0.0018556209585476012,0.5451372762186546,-0.13464742561715318,0.6524972042093822,-0.9118071063894705,0.9705404616384342,1.2634058869773996,0.491461890934202,Compact Fluorescent Lamp,0
